"Date","VIXSIM"
"1990-11-05",17314.39
"1990-11-06",16885.15
"1990-11-07",17906.03
"1990-11-08",17859.63
"1990-11-09",15638.05
"1990-11-12",14849.19
"1990-11-13",14257.54
"1990-11-14",13277.26
"1990-11-15",13091.65
"1990-11-16",12378.19
"1990-11-19",12151.97
"1990-11-20",11653.13
"1990-11-21",12233.18
"1990-11-23",12169.37
"1990-11-26",13201.86
"1990-11-27",13259.86
"1990-11-28",13317.87
"1990-11-29",13868.91
"1990-11-30",12853.83
"1990-12-03",12929.23
"1990-12-04",12778.42
"1990-12-05",12146.17
"1990-12-06",13120.65
"1990-12-07",13103.25
"1990-12-10",13677.49
"1990-12-11",13776.1
"1990-12-12",12343.39
"1990-12-13",13370.07
"1990-12-14",13834.11
"1990-12-17",14414.15
"1990-12-18",13404.87
"1990-12-19",13387.47
"1990-12-20",13416.47
"1990-12-21",13143.85
"1990-12-24",13938.52
"1990-12-26",14025.52
"1990-12-27",14390.95
"1990-12-28",14530.16
"1990-12-31",15301.62
"1991-01-02",15440.84
"1991-01-03",16200.7
"1991-01-04",15771.46
"1991-01-07",16792.34
"1991-01-08",17621.81
"1991-01-09",19315.55
"1991-01-10",18172.85
"1991-01-11",18926.91
"1991-01-14",20997.68
"1991-01-15",20974.48
"1991-01-16",19257.54
"1991-01-17",15922.27
"1991-01-18",14727.38
"1991-01-21",14112.53
"1991-01-22",14443.16
"1991-01-23",13874.71
"1991-01-24",13259.86
"1991-01-25",12877.03
"1991-01-28",13370.07
"1991-01-29",13439.68
"1991-01-30",12395.59
"1991-01-31",12128.77
"1991-02-01",12204.18
"1991-02-04",12679.81
"1991-02-05",12447.8
"1991-02-06",13155.45
"1991-02-07",13689.1
"1991-02-08",13561.48
"1991-02-11",13085.85
"1991-02-12",12911.83
"1991-02-13",12099.77
"1991-02-14",12459.4
"1991-02-15",11351.51
"1991-02-19",11508.12
"1991-02-20",12911.83
"1991-02-21",12053.36
"1991-02-22",12186.77
"1991-02-25",13259.86
"1991-02-26",11821.35
"1991-02-27",12331.79
"1991-02-28",12314.39
"1991-03-01",12314.39
"1991-03-04",12099.77
"1991-03-05",11861.95
"1991-03-06",11919.95
"1991-03-07",12209.98
"1991-03-08",12070.77
"1991-03-11",12111.37
"1991-03-12",10916.47
"1991-03-13",9332.95
"1991-03-14",8665.89
"1991-03-15",8642.69
"1991-03-18",9158.93
"1991-03-19",9344.55
"1991-03-20",9303.94
"1991-03-21",9779.58
"1991-03-22",9564.97
"1991-03-25",9721.58
"1991-03-26",9460.56
"1991-03-27",9599.77
"1991-03-28",9791.18
"1991-04-01",10104.41
"1991-04-02",10092.81
"1991-04-03",10214.62
"1991-04-04",10446.64
"1991-04-05",10226.22
"1991-04-08",10098.61
"1991-04-09",11670.53
"1991-04-10",11444.32
"1991-04-11",10000
"1991-04-12",10701.86
"1991-04-15",9570.77
"1991-04-16",9176.33
"1991-04-17",8973.32
"1991-04-18",9431.55
"1991-04-19",9095.13
"1991-04-22",9733.18
"1991-04-23",9872.39
"1991-04-24",9698.38
"1991-04-25",9947.8
